species,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,reference_id
Neochen_pugil,NA,NA,NA,NA,NA,NA,109.5,NA,NA,NA,NA,NA,NA,NA,NA,120.2,NA,NA,NA,NA,NA,NA,Nascimento_2020
Neogyps_errans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.8,19.6,22.4,NA,NA,NA,NA,Miller_1916a
Neophrontops_americanus,140.28,26.4,22.78,157.47,15.07,9.07,77.4,NA,NA,79.8,15.48,NA,96.9,14.42,14.1,91.56,14.31,15.08,NA,NA,NA,NA,Howard_1932
Neortyx_peninsularis,NA,NA,NA,NA,61.5,NA,NA,NA,NA,45.8,7.5,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Holman_1961
Nesoenas_cicur,38.9,10.6,9.1,42.8,5.6,5.1,26.1,7.3,3.9,34.8,6.9,6.3,51,NA,5.4,29.8,NA,6.6,NA,NA,NA,NA,Hume_2011
Nesoenas_duboisi,50.4,14.2,10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MourerChauvire_1999
Nesoenas_rodericanus,35.5,9.2,8.1,42.2,5.8,5,26.1,7.2,2.4,31.8,6.5,6.3,45.6,5.4,5.2,25.5,NA,6.4,NA,NA,NA,NA,Hume_2011
Nesotrochis_debooyi,61.2,NA,NA,NA,NA,NA,NA,NA,NA,76.7,NA,NA,117.5,NA,12.3,73.2,NA,NA,NA,NA,NA,NA,Olson_1974b
Nesotrochis_picapicensis,49.5,NA,NA,NA,NA,NA,NA,NA,NA,63.4,NA,NA,92.1,NA,9.65,62.6,NA,NA,NA,NA,NA,NA,Olson_1974b
Nesotrochis_steganinos,46.9,NA,NA,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,59.5,9.9,NA,NA,NA,NA,NA,Olson_1974b
Nestor_chathamensis,61,18.9,12,65.9,NA,7.8,43.3,10.4,6.7,56.4,11.8,12.3,84.3,14.5,9.5,35.1,10.2,13,NA,NA,NA,NA,Wood_2014
Nestor_productus,56.6,16,11.2,56.1,NA,NA,37.9,NA,NA,NA,NA,NA,NA,NA,NA,31.7,8.7,11.8,NA,NA,NA,NA,Wood_2014
Ninox_sp_NewCaledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,7.6,7.4,60,6.4,6.7,NA,NA,NA,NA,NA,NA,NA,Balouet_1989
Numenius_victima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,9.7,9,NA,NA,NA,NA,Cabrales_2003
Nuntius_solitarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4.4,4.3,NA,NA,NA,NA,Campbell_1979
Nyctanassa_carcinocatactes,108.2,NA,15.65,120.8,NA,NA,53.6,NA,NA,67.85,12.5,12.95,NA,NA,10.3,93.2,10.9,11.37,NA,NA,NA,NA,Olson_2006
Nycticorax_duboisi,137,NA,18.4,155,13.5,10.3,NA,NA,NA,85,NA,14.8,144.5,NA,12.87,97.55,13.5,7.35,NA,NA,NA,NA,MourerChauvire_1999
Nycticorax_kalavikai,NA,NA,NA,123,10.6,7.93,NA,12.4,NA,NA,NA,NA,NA,11.8,11.94,NA,NA,12.6,NA,NA,NA,NA,Steadman_2000
Nycticorax_mauritianus,NA,NA,NA,111.5,NA,NA,NA,NA,NA,79.3,NA,13.8,NA,NA,NA,83.25,12.75,11.9,NA,NA,NA,NA,MourerChauvire_1999
Nycticorax_megacephalus,116.5,NA,16.65,121,NA,NA,NA,NA,NA,88,NA,15,138,NA,13,94.25,13.85,13.65,NA,NA,NA,NA,MourerChauvire_1999
Nycticorax_olsoni,NA,NA,12.7,NA,NA,NA,NA,NA,NA,62.5,NA,9.5,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,Bourne_2003
Nycticorax_sp_Eua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,Steadman_2000
Oraristrix_brea,117.07,20.55,19.44,138.5,13.05,NA,59.71,13.27,10.95,NA,14.97,15.05,117.89,13.3,13.15,65.71,13.44,15.83,NA,NA,NA,NA,Campbell_2010
Oreopholus_orcesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,5.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Campbell_1976
Ornimegalonyx_ewingi,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.4,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suarez_2020c
Ornimegalonyx_oteroi,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,44.33,36.5,261,37.3,30.33,169.75,33,NA,NA,NA,NA,NA,Arredondo_1976
Ornimegalonyx_oteroi,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,33,NA,261,NA,NA,162,NA,NA,NA,NA,NA,NA,Arredondo_1982
Ornimegalonyx_oteroi,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,46,NA,272,NA,NA,177,NA,NA,NA,NA,NA,NA,Arredondo_1982
Orthiospiza_howarthi,24.5,7.8,NA,29.8,NA,NA,16.2,NA,NA,26.9,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James_1991
Orthonyx_wakefieldi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baird_1993
Oscaravis_olsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,27.6,NA,NA,NA,NA,Suarez_2009b
Otus_frutuosoi,39.87,7.82,7.18,43.63,4.4,NA,19.49,4.85,NA,31.04,5.78,5.99,49.49,4.88,4.93,32.35,5.22,5.64,NA,NA,NA,NA,Rando_2013
Otus_mauli,NA,NA,7.4,51.02,4.8,NA,NA,NA,NA,33.2,6.3,6.1,55,5,5.4,33.43,5.4,5.6,NA,NA,NA,NA,Rando_2012
Oxyura_vantetsi,65.5,14.38,8.72,55.55,6.15,3.89,NA,NA,NA,NA,NA,NA,69.08,8.39,8.96,34.18,9.3,8.36,NA,NA,NA,NA,Worthy_2005
Pachyornis_australis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,NA,NA,235,NA,NA,NA,NA,NA,NA,Worthy_2012
Pachyornis_elephantopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,560,NA,NA,235,NA,NA,NA,NA,NA,NA,Worthy_2002a
Pachyornis_geranoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.5,NA,NA,502.5,NA,NA,210,NA,NA,NA,NA,NA,NA,Trewick_1996
Pachyplichas_jagmi,15.34,4.27,3.63,16.74,2.3,2,NA,NA,NA,16.34,4.41,4.04,31.81,5.22,3.04,25.57,3.37,2.55,NA,NA,NA,NA,Millener_1988
Pachyplichas_yaldwyni,17.21,4.93,4.21,18.06,2.67,2.37,9.94,2.9,1.6,18.53,5.58,4.84,35.53,6.27,3.82,29.26,3.97,3.05,NA,NA,NA,NA,Millener_1988
Pampagyps_imperator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.2,27.3,28.7,NA,NA,NA,NA,Agnolin_2017
Pampusana_leonpascoi,37.22,12.87,8.34,39.86,5.2,4.76,23.21,6.64,NA,44.15,8.07,8.35,69.28,6.83,7.67,42.67,8.45,8.65,NA,NA,NA,NA,Worthy_2003a
Pampusana_longitarsus,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,9.2,9.4,NA,NA,NA,51.6,8.1,7.75,NA,NA,NA,NA,Balouet_1989
Pampusana_nui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,9,9.6,NA,NA,NA,NA,Steadman_1992b
Pandanaris_floridana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,Brodkorb_1957
Pedinorhis_stirpsarcana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.03,NA,NA,NA,NA,NA,NA,Olson_1981a
Phalcoboenus_napieri,NA,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adams_2016
Pipilo_angelensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,7.6,NA,Dawson_1948
Pipilo_naufragus,21.2,6,NA,22.4,NA,NA,12.5,NA,NA,23.6,4.4,4.8,37.6,4.3,3.6,27.9,4.1,3.1,NA,NA,NA,NA,Olson_2012a
Pleistovultur_nevesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,NA,20.5,NA,NA,NA,NA,NA,NA,NA,Alvarenga_2008
Podilymbus_wetmorei,72.79,13.19,6.81,62.7,5.55,3.92,34.13,3.02,3.7,38.93,9.19,9.37,73.3,6.78,6.9,39.45,NA,NA,NA,NA,NA,NA,Storer_1976
Porphyrio_albus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grouw_2016
Porphyrio_kukwiedei,72.58,16.1,11.2,59.1,10.3,NA,NA,NA,NA,NA,NA,NA,65,NA,17.9,109.5,19.4,19.7,NA,NA,NA,NA,Balouet_1989
Porphyrio_mantelli,88,19.7,13.4,NA,NA,NA,46.1,NA,NA,110.4,24.6,24.9,177.8,19.9,19.3,117.4,21.2,22.4,NA,NA,NA,NA,Worthy_2002a
Porphyrio_mcnabi,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kirchman_2006a
Porphyrio_paepae,NA,NA,NA,NA,NA,NA,29.3,6.8,NA,52.5,NA,9.5,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,Kirchman_2006a
Prosobonia_leucoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zusi_1970
Prosobonia_sauli,27.3,5.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,3.7,4.2,NA,NA,NA,NA,DePietri_2021
Pseudobulweria_sp_Gambier,NA,11,8.8,81.6,6.9,5.8,38,8.4,NA,25.5,5.2,4.8,51.6,NA,4.6,36.1,5.5,5.2,NA,NA,NA,NA,Rigal_2018
Pseudoseisuropsis_cuelloi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,5.1,NA,Claramunt_2005
Psilopterus_sp_Uruguay,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jones_2018
Ptaiochen_pau,50.9,NA,NA,33.1,NA,NA,18.5,NA,NA,89.3,25.6,20.8,146,21.9,18.7,80.2,21.5,22.4,NA,NA,NA,NA,James_1991
Pterodroma_imberi,86.3,20.7,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tennyson_2015
Pterodroma_jugabilis,67.125,NA,8.27,73.45,NA,NA,33.45,NA,NA,22.115,4.385,3.835,42.4,NA,3.75,28.35,4.415,4.165,NA,NA,NA,NA,James_1991
Pterodroma_rupinarum,89,NA,NA,91.7,NA,NA,44.1,NA,NA,31.5,NA,NA,56.1,NA,NA,35.7,NA,NA,NA,NA,NA,NA,Olson_1975a
Pterodroma_sp_Hierro,87.91,NA,NA,90.64,NA,NA,44.53,NA,NA,32.27,NA,NA,55.98,NA,NA,35.39,NA,NA,NA,NA,NA,NA,Rando_2002
Pterodroma_sp_Rodrigues,109,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,Bourne_1968
Ptilinopus_sp_Mangavera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,Rigal_2018
Puffinus_holeae,96.8,NA,NA,88.4,NA,NA,52.7,NA,NA,37.3,NA,NA,77.9,NA,NA,53.8,NA,NA,NA,NA,NA,NA,Walker_1990
Puffinus_olsoni,70.9,4.9,NA,62.98,NA,NA,NA,NA,NA,28.22,NA,NA,68.62,NA,NA,40.54,NA,NA,NA,NA,NA,NA,McMinn_1990
Puffinus_pacificoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,8.4,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,Olson_1975a
Puffinus_spelaeus,69.3,12.2,9.5,59.6,7.6,6.2,35,8.5,5.6,28.5,6,5.7,68.7,4.8,5.1,38.9,5.5,5,NA,NA,NA,NA,Holdaway_1994
Pulsatrix_arredondoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,14.1,15.6,NA,NA,NA,NA,Orihuela_2019
Pycnoptilus_fordi,17.5,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baird_1993
Pyrrhula_crassa,22.8,7.82,6.1,NA,NA,NA,15.8,4.2,3.8,NA,NA,NA,34.9,NA,3.5,NA,NA,NA,NA,NA,NA,NA,Rando_2017
Rallus_adolfocaesaris,NA,NA,5.1,NA,NA,NA,NA,NA,NA,38.6,7.3,NA,52,6.9,5,33.1,5.2,5.5,NA,NA,NA,NA,Alcover_2015
Rallus_carvaoensis,27.41,5.7,3.9,NA,2.5,2.4,14.94,3.7,2.1,36.3,5.6,5.8,53.5,5.1,4.6,30.4,5.1,5.2,NA,NA,NA,NA,Alcover_2015
